id;title;description;availability;condition;price;link;image_link;brand
222;"Набор ягод Молочный рай";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/korobka-na-9/;https://veryberrylab.ru/upload/iblock/c2d/c2d66b350d6a9d07eb69910114f78de0.JPG;"Very Berry Lab"
278;"Набор ягод Клубничный поцелуй";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/klubnichnyy-potseluy/;https://veryberrylab.ru/upload/iblock/51e/51e1d0e7140fa976a33ad3a40c367636.JPG;"Very Berry Lab"
603;"Набор ягод Райское наслаждение";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/rayskoe-naslazhdenie-/;https://veryberrylab.ru/upload/iblock/c7b/c7b647be5bc6cd4b891bbab1d7548809.jpg;"Very Berry Lab"
608;"Набор ягод Нежность";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/nezhnost/;https://veryberrylab.ru/upload/iblock/045/045d43f6ecca8413878b3f8942b13134.jpg;"Very Berry Lab"
612;"Набор ягод Шоколадное удовольствие";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/shokoladnoe-udovolstvie-/;https://veryberrylab.ru/upload/iblock/302/30262f26d4f121b9780d14b31b424360.jpg;"Very Berry Lab"
876;"Набор ягод Hello Kitty";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/hello-kitty/;https://veryberrylab.ru/upload/iblock/60c/60c6543f08466d8fd20556b77661426f.jpg;"Very Berry Lab"
877;"Набор ягод Элеганс";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/5-vidov-shokolada/;https://veryberrylab.ru/upload/iblock/5c9/5c982d471659b9abc64d212ef7dbbbb6.jpg;"Very Berry Lab"
881;"Набор ягод 5 Видов шоколада";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/zolushka/;https://veryberrylab.ru/upload/iblock/60d/60d0ffce981db910e56e7f28643cde33.JPG;"Very Berry Lab"
1709;"Набор ягод Смокинги";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/smokingi/;https://veryberrylab.ru/upload/iblock/b84/b843a8ab6d4ab5cebd2983e6f6bb82bd.jpg;"Very Berry Lab"
1710;"Набор ягод Премьер для неё";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/premer/;https://veryberrylab.ru/upload/iblock/879/879b2316b524521babc9c08030595ecc.jpg;"Very Berry Lab"
1824;"Набор ягод Темно-молочная ночь";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1690.00;https://veryberrylab.ru/product/temno-molochnaya-noch/;https://veryberrylab.ru/upload/iblock/813/813f796ccece4a0c7c666a28e48da91c.JPG;"Very Berry Lab"
2021;"Набор ягод Премьер для него";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/premer-dlya-malchika-/;https://veryberrylab.ru/upload/iblock/874/87434ef37d443880986be2498d378a83.JPG;"Very Berry Lab"
2091;"Набор ягод Зверополис";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/zveropolis/;https://veryberrylab.ru/upload/iblock/c14/c1467d1ef0e70d7b024e33d37a0bc3eb.jpg;"Very Berry Lab"
2135;"Набор ягод Halloween";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;2490.00;https://veryberrylab.ru/product/halloween/;https://veryberrylab.ru/upload/iblock/037/0374b429df1e99f9b95ab7411fe10db6.JPG;"Very Berry Lab"
2152;"Набор ягод Большой сюрприз Новогодний!";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6590.00;https://veryberrylab.ru/product/bolshoy-syurpriz-novogodniy/;https://veryberrylab.ru/upload/iblock/956/9560f729d18cb4385dbfff303ec11dc4.JPG;"Very Berry Lab"
2157;"Набор ягод Год Тигра";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;2390.00;https://veryberrylab.ru/product/god-tigra/;https://veryberrylab.ru/upload/iblock/792/7920ea61d8412bf848c9c7a69c6edc7b.JPG;"Very Berry Lab"
2174;"Набор ягод Большой сюрприз для нее!";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6590.00;https://veryberrylab.ru/product/bolshoy-syurpriz-dlya-nee/;https://veryberrylab.ru/upload/iblock/217/217fb6c37a22764bf32999a4b5774452.jpg;"Very Berry Lab"
2227;"Набор ягод Космос";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;1890.00;https://veryberrylab.ru/product/kosmoss/;https://veryberrylab.ru;"Very Berry Lab"
353;"Шляпная коробка Любимому учителю и не только";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5490.00;https://veryberrylab.ru/product/lyubimomu-uchitelyu-i-ne-tolko/;https://veryberrylab.ru/upload/iblock/1a6/1a64db0d21ca2cb16b98cf06f60facb4.jpg;"Very Berry Lab"
659;"Шляпная коробка Сладкий каприз";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4390.00;https://veryberrylab.ru/product/yubileyg/;https://veryberrylab.ru/upload/iblock/8c9/8c9c43d41d4c3706ccace0f4c6e53b68.jpg;"Very Berry Lab"
667;"Шляпная коробка Моей принцессе";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6090.00;https://veryberrylab.ru/product/moey-printsesse/;https://veryberrylab.ru/upload/iblock/a6e/a6e4419d28144780438607a7a4e47e74.jpg;"Very Berry Lab"
852;"Шляпная коробка Тиффани в боксе";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3890.00;https://veryberrylab.ru/product/tiffani-v-bokse/;https://veryberrylab.ru/upload/iblock/02a/02a16962688dea767119c792ce5f0379.jpg;"Very Berry Lab"
853;"Шляпная коробка С днём свадьбы";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4390.00;https://veryberrylab.ru/product/s-dnyem-svadby/;https://veryberrylab.ru/upload/iblock/0dd/0dd0810c0b894298676044cfac0429d9.jpg;"Very Berry Lab"
854;"Шляпная коробка Юбилейный подарок";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;5690.00;https://veryberrylab.ru/product/yubileynyy-podarok/;https://veryberrylab.ru/upload/iblock/a0c/a0c03a347bc0a4f1ea2cb1dde26d5ce0.jpg;"Very Berry Lab"
855;"Шляпная коробка Малиновый закат";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4390.00;https://veryberrylab.ru/product/malinovyy-zakat/;https://veryberrylab.ru/upload/iblock/173/173dadf508ecce82c35a4faf720c9c84.jpg;"Very Berry Lab"
858;"Шляпная коробка Молочный бокс";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3290.00;https://veryberrylab.ru/product/molochnyy-boks/;https://veryberrylab.ru/upload/iblock/86f/86fc54e9296a95912e4432370dc05571.jpg;"Very Berry Lab"
860;"Шляпная коробка Новогодняя сказка";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;10790.00;https://veryberrylab.ru/product/novogodnyaya-skazka/;https://veryberrylab.ru/upload/iblock/7de/7deabfdd635adf90b646ef434c6be526.JPG;"Very Berry Lab"
1687;"Шляпная коробка Самой очаровательной девушке";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6090.00;https://veryberrylab.ru/product/samoy-ocharovatelnoy-devushke/;https://veryberrylab.ru/upload/iblock/8dd/8dd95d33ae7ec63d2f8caf27c7f225e0.JPG;"Very Berry Lab"
