ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price"
222,,"Набор ягод Молочный рай",https://veryberrylab.ru/product/korobka-na-9/,https://veryberrylab.ru/upload/iblock/c2d/c2d66b350d6a9d07eb69910114f78de0.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
278,,"Набор ягод Клубничный поцелуй",https://veryberrylab.ru/product/klubnichnyy-potseluy/,https://veryberrylab.ru/upload/iblock/51e/51e1d0e7140fa976a33ad3a40c367636.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
603,,"Набор ягод Райское наслаждение",https://veryberrylab.ru/product/rayskoe-naslazhdenie-/,https://veryberrylab.ru/upload/iblock/c7b/c7b647be5bc6cd4b891bbab1d7548809.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
608,,"Набор ягод Нежность",https://veryberrylab.ru/product/nezhnost/,https://veryberrylab.ru/upload/iblock/045/045d43f6ecca8413878b3f8942b13134.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
612,,"Набор ягод Шоколадное удовольствие",https://veryberrylab.ru/product/shokoladnoe-udovolstvie-/,https://veryberrylab.ru/upload/iblock/302/30262f26d4f121b9780d14b31b424360.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
876,,"Набор ягод Hello Kitty",https://veryberrylab.ru/product/hello-kitty/,https://veryberrylab.ru/upload/iblock/60c/60c6543f08466d8fd20556b77661426f.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
877,,"Набор ягод Элеганс",https://veryberrylab.ru/product/5-vidov-shokolada/,https://veryberrylab.ru/upload/iblock/5c9/5c982d471659b9abc64d212ef7dbbbb6.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
881,,"Набор ягод 5 Видов шоколада",https://veryberrylab.ru/product/zolushka/,https://veryberrylab.ru/upload/iblock/60d/60d0ffce981db910e56e7f28643cde33.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
1709,,"Набор ягод Смокинги",https://veryberrylab.ru/product/smokingi/,https://veryberrylab.ru/upload/iblock/b84/b843a8ab6d4ab5cebd2983e6f6bb82bd.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
1710,,"Набор ягод Премьер для неё",https://veryberrylab.ru/product/premer/,https://veryberrylab.ru/upload/iblock/879/879b2316b524521babc9c08030595ecc.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
1824,,"Набор ягод Темно-молочная ночь",https://veryberrylab.ru/product/temno-molochnaya-noch/,https://veryberrylab.ru/upload/iblock/813/813f796ccece4a0c7c666a28e48da91c.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1690.00 RUB",
2021,,"Набор ягод Премьер для него",https://veryberrylab.ru/product/premer-dlya-malchika-/,https://veryberrylab.ru/upload/iblock/874/87434ef37d443880986be2498d378a83.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
2091,,"Набор ягод Зверополис",https://veryberrylab.ru/product/zveropolis/,https://veryberrylab.ru/upload/iblock/c14/c1467d1ef0e70d7b024e33d37a0bc3eb.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
2135,,"Набор ягод Halloween",https://veryberrylab.ru/product/halloween/,https://veryberrylab.ru/upload/iblock/037/0374b429df1e99f9b95ab7411fe10db6.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"2490.00 RUB",
2152,,"Набор ягод Большой сюрприз Новогодний!",https://veryberrylab.ru/product/bolshoy-syurpriz-novogodniy/,https://veryberrylab.ru/upload/iblock/956/9560f729d18cb4385dbfff303ec11dc4.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"6590.00 RUB",
